[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\urllib\request.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\datetime.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\importlib\abc.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\models\sql\subqueries.py first seen with mtime 1578010906.3025706
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\db\backends\base\client.py first seen with mtime 1578010905.9296327
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\posixpath.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\html\parser.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\sqlparse\lexer.py first seen with mtime 1578010908.0222716
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\wsgiref\util.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\asyncio\proactor_events.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1578010885.0134299
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\email\_parseaddr.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\core\signing.py first seen with mtime 1578010905.5980966
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\asyncio\transports.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\core\signals.py first seen with mtime 1578010905.5950959
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\distutils\command\build_ext.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\django\contrib\admin\views\autocomplete.py first seen with mtime 1578010891.0034828
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\sqlparse\sql.py first seen with mtime 1578010908.0272746
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\sre_compile.py first seen with mtime 1497743838.0
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\django\hckrieger\venv\Lib\site-packages\pytz\__init__.py first seen with mtime 1578010909.370624
[09/Jan/2020 22:11:30] DEBUG [django.utils.autoreload:349] File C:\Users\hunte\AppData\Local\Programs\Python\Python36\Lib\concurrent\futures\__init__.py first seen with mtime 1497743838.0
